Site,TimeStamp,DO_mgL
Azevedo Pond,5/6/21 13:15,0.8
Azevedo Pond,5/6/21 13:30,1.3
Azevedo Pond,5/6/21 13:45,1.6
Azevedo Pond,5/6/21 14:00,1.5
Azevedo Pond,5/6/21 14:15,0.6
Azevedo Pond,5/6/21 14:30,1.6
Azevedo Pond,5/6/21 14:45,0.7
Azevedo Pond,5/6/21 15:00,1
Azevedo Pond,5/6/21 15:15,1.2
Azevedo Pond,5/6/21 15:30,0.6
Azevedo Pond,5/6/21 15:45,0.9
Azevedo Pond,5/6/21 16:00,0.9
Azevedo Pond,5/6/21 16:15,1.2
Azevedo Pond,5/6/21 16:30,0.8
Azevedo Pond,5/6/21 16:45,1.3
Azevedo Pond,5/6/21 17:00,1.2
Azevedo Pond,5/6/21 17:15,0.9
Azevedo Pond,5/6/21 17:30,1.3
Azevedo Pond,5/6/21 17:45,1.7
Azevedo Pond,5/6/21 18:00,2.7
Azevedo Pond,5/6/21 18:15,2.5
Azevedo Pond,5/6/21 18:30,1.6
Azevedo Pond,5/6/21 18:45,5.2
Azevedo Pond,5/6/21 19:00,5.4
Azevedo Pond,5/6/21 19:15,2.6
Azevedo Pond,5/6/21 19:30,1.9
Azevedo Pond,5/6/21 19:45,0.1
Azevedo Pond,5/6/21 20:00,0
Azevedo Pond,5/6/21 20:15,0
Azevedo Pond,5/6/21 20:30,0.1
Azevedo Pond,5/6/21 20:45,0.2
Azevedo Pond,5/6/21 21:00,0
Azevedo Pond,5/6/21 21:15,0.4
Azevedo Pond,5/6/21 21:30,4.8
Azevedo Pond,5/6/21 21:45,5.5
Azevedo Pond,5/6/21 22:00,5.5
Azevedo Pond,5/6/21 22:15,5.2
Azevedo Pond,5/6/21 22:30,5.1
Azevedo Pond,5/6/21 22:45,4.8
Azevedo Pond,5/6/21 23:00,4.7
Azevedo Pond,5/6/21 23:15,4.2
Azevedo Pond,5/6/21 23:30,3.8
Azevedo Pond,5/6/21 23:45,3.3
Azevedo Pond,5/7/21 0:00,3.5
Azevedo Pond,5/7/21 0:15,3.1
Azevedo Pond,5/7/21 0:30,3.1
Azevedo Pond,5/7/21 0:45,2.9
Azevedo Pond,5/7/21 1:00,2.6
Azevedo Pond,5/7/21 1:15,2.1
Azevedo Pond,5/7/21 1:30,1.7
Azevedo Pond,5/7/21 1:45,1.4
Azevedo Pond,5/7/21 2:00,1.6
Azevedo Pond,5/7/21 2:15,1.7
Azevedo Pond,5/7/21 2:30,1.1
Azevedo Pond,5/7/21 2:45,0.7
Azevedo Pond,5/7/21 3:00,0.6
Azevedo Pond,5/7/21 3:15,0.9
Azevedo Pond,5/7/21 3:30,0.8
Azevedo Pond,5/7/21 3:45,0.7
Azevedo Pond,5/7/21 4:00,0.7
Azevedo Pond,5/7/21 4:15,0.5
Azevedo Pond,5/7/21 4:30,0.3
Azevedo Pond,5/7/21 4:45,0.2
Azevedo Pond,5/7/21 5:00,0.1
Azevedo Pond,5/7/21 5:15,0.1
Azevedo Pond,5/7/21 5:30,0.2
Azevedo Pond,5/7/21 5:45,0.2
Azevedo Pond,5/7/21 6:00,0.3
Azevedo Pond,5/7/21 6:15,0.2
Azevedo Pond,5/7/21 6:30,0.4
Azevedo Pond,5/7/21 6:45,0.5
Azevedo Pond,5/7/21 7:00,0.5
Azevedo Pond,5/7/21 7:15,0.5
Azevedo Pond,5/7/21 7:30,0.2
Azevedo Pond,5/7/21 7:45,0.2
Azevedo Pond,5/7/21 8:00,0.9
Azevedo Pond,5/7/21 8:15,0.8
Azevedo Pond,5/7/21 8:30,0.8
Azevedo Pond,5/7/21 8:45,0.3
Azevedo Pond,5/7/21 9:00,0.4
Azevedo Pond,5/7/21 9:15,0.2
Azevedo Pond,5/7/21 9:30,0.5
